n,command,mean,stddev,median,user,system,min,max
100000,../project < in.txt,0.027207172688627452,0.0002573850914489193,0.02713095812,0.024457861568627448,0.002888539607843137,0.02698997912,0.02823189912
110000,../project < in.txt,0.030070653320430095,0.00041645436392424954,0.029937727600000002,0.027420691397849452,0.0026911053763440857,0.029764184600000004,0.0327727456
120000,../project < in.txt,0.03279073291953489,0.00036482434483893326,0.03267359878,0.03014094,0.002749383720930232,0.03251041178,0.03429519978
130000,../project < in.txt,0.035523591750632896,0.0003985096707535467,0.0354067947,0.03247794607594936,0.0030923762025316446,0.0352171327,0.0380843957
140000,../project < in.txt,0.03986768903217392,0.0004924713433458319,0.03966086338,0.035445039710144934,0.004414919999999997,0.03950777038,0.04144990438
150000,../project < in.txt,0.04246857326686567,0.0004926606889006734,0.04228497364000001,0.037525785074626866,0.004956462686567164,0.04208903864000001,0.04415922264
160000,../project < in.txt,0.044995753181269846,0.00029787558543205707,0.04491762534,0.040381389206349205,0.004635294285714286,0.044769949340000004,0.04656411934000001
170000,../project < in.txt,0.04773835928666667,0.0004957825274237083,0.04762049772000001,0.04286421666666666,0.004908699333333333,0.04746282822,0.05120852222000001
180000,../project < in.txt,0.05058957433000003,0.0006058186652224709,0.05045418958,0.046030921428571424,0.004560737499999999,0.05020900058,0.05352098358
190000,../project < in.txt,0.053098128099999996,0.00033889020532381156,0.0530004851,0.04780289037037037,0.005302387407407404,0.052801719100000005,0.05479539110000001
200000,../project < in.txt,0.05600843435294117,0.0007618415064823083,0.05578618900000001,0.04990333450980392,0.0061010392156862735,0.05559279500000001,0.05994740900000001
210000,../project < in.txt,0.05867710853183672,0.00047556104749346304,0.058521578940000006,0.052856416734693885,0.005806460408163265,0.05837613894,0.061076846940000006
220000,../project < in.txt,0.0614138404519149,0.0005593154343503837,0.061203722919999995,0.05456315531914893,0.006837096170212766,0.06102107992,0.06345814992
230000,../project < in.txt,0.06416460558666665,0.00044610253005638613,0.06404509112000001,0.058775386666666665,0.0053986471111111085,0.06386439412,0.06630644012
240000,../project < in.txt,0.06693907882325582,0.0006835712076169732,0.0667191738,0.0607529623255814,0.0061559972093023245,0.06641914980000001,0.0700956118
250000,../project < in.txt,0.06963605916439024,0.0005243457950962077,0.06946519814,0.06332799853658536,0.006287845365853659,0.06926255114,0.07233933614
260000,../project < in.txt,0.07255906614500002,0.0008198735298460556,0.07226968362000001,0.06563486,0.006908887500000002,0.07205108512000001,0.07606913212000001
270000,../project < in.txt,0.07864502886108109,0.001098995316287724,0.07824728978,0.06952590594594593,0.00905918918918919,0.07805621878,0.08285052978000002
280000,../project < in.txt,0.08107480835428571,0.000549061616550229,0.08088298904,0.07268766857142858,0.008351808,0.08073992004000001,0.08382345604000001
290000,../project < in.txt,0.08363440880352942,0.00038350926348809314,0.08349067948,0.07616835529411763,0.007425334705882353,0.08330769898,0.08511159998
300000,../project < in.txt,0.08631459083058823,0.0006035809221967618,0.08615479486,0.07765592235294115,0.008616411764705885,0.08587669536,0.08906542936
310000,../project < in.txt,0.08878617127000003,0.00032343819220380496,0.08863551802,0.07961785125,0.009119575,0.08848014302000001,0.08991560202000001
320000,../project < in.txt,0.09159194724,0.0007280386540480283,0.09138193874,0.08141041000000004,0.010098318749999996,0.09114625874,0.09494643874
330000,../project < in.txt,0.09478168592967741,0.0015837862834674414,0.09423262322,0.0865977709677419,0.008174048387096775,0.09379693522,0.10156002622
340000,../project < in.txt,0.09716166432000002,0.00098624661295224,0.09688009491999999,0.08837346666666665,0.008743413333333335,0.09654410792,0.10111199992
350000,../project < in.txt,0.09966205526000001,0.00038765835189340854,0.09954737826000001,0.09041617517241379,0.00918124827586207,0.09930130726000001,0.10121418126000001
360000,../project < in.txt,0.10275287344142861,0.001477210899112394,0.10228743762,0.09416323285714286,0.008510447142857145,0.10198560812000002,0.10988396212000001
370000,../project < in.txt,0.10526409547629632,0.00044139599581013,0.10510259518000001,0.09345864592592594,0.011745752592592595,0.10483976218000002,0.10659006918000001
380000,../project < in.txt,0.10789407891111108,0.00025148250539999147,0.1078318788,0.09833396592592594,0.00948429777777778,0.1076253638,0.1085060708
390000,../project < in.txt,0.11094837138307694,0.0010298090573819248,0.11059738746,0.10038352769230771,0.010502749999999998,0.11024927396,0.11500127896
400000,../project < in.txt,0.11362402890000001,0.0008377703720551113,0.11334423978000001,0.10069573999999999,0.012862939999999998,0.11312485478,0.11692769778
410000,../project < in.txt,0.11687420126000003,0.002744815911266505,0.11608013282000001,0.10626238,0.010548360000000001,0.11573962282,0.12934185282000002
420000,../project < in.txt,0.11906450514333337,0.0009131676807336278,0.11884005906,0.10931406166666664,0.009687641666666667,0.11855433306,0.12310994206000002
430000,../project < in.txt,0.12193205267833336,0.0011027055209834554,0.12149705472,0.11064845499999998,0.011220506666666666,0.12124665622000001,0.12536880622000002
440000,../project < in.txt,0.12477575829217391,0.0013977109061541165,0.12432180164,0.11204125304347824,0.012657874782608694,0.12399869964,0.12958787164000002
